项目,主题,问题类型,优先级,描述
新基金业务管理系统,【LOF份额放开交易】发送通知单页面，通知单名称显示不正确,缺陷,低,"问题描述：
通知单下载页面：
1.“LOF份额放开交易通知单”写成了“LOF份额开发交易已通知单”；
2.“基金开盘参考价通知”写成了“基金开盘参考价”
下载后打开页面：
1.基金开盘参考价通知单中内容与需求规格说明书中不符"
新基金业务管理系统,【场外货币ETF变更】复审审核通过后，发送通知单错误,优化,高,"测试环境：http://197.2.17.1:64380/fms/
前提条件：场外货币ETF属于跨平台，且新增申请时申赎简称有变更

操作步骤：基金管理人提交申请，主办审核通过，复审审核通过发送通知单

实际结果：系统只发送了“ETF更名通知”通知单
期望结果：系统发送《ETF更名通知》和《ETF更名通知（综合业务平台专用）》通知单，T-1日汇总ezpar文件"
新基金业务管理系统,【LOF上市】流程走完之后，sfpm文件无法下载；点击下载通知单跳转到空白页面,缺陷,低,"一.流程走完之后，sfpm文件无法下载
 操作步骤：
1.基金公司提交申请单，初审审核通过，流转到复审，复审审核通过
2.在通知单页面点击下载sfpm文件
期望结果：下载成功
实际结果：点击下载无反应
二.点击下载通知单跳转到空白页面
描述：
1.基金公司提交申请单，初审审核通过，流转到复审，复审审核通过
2。审核通过之后，通知单是可以下载的，过一段时间后，点击下载通知单跳转到空白页面
测试数据：初审：wm 复审：wm1  证券代码：501403 基金公司：90003801
"
交易参与人系统,【批处理】做市商评级文件导出(数据仓库)，生成的se053zspj文件中，数据排序不正确,缺陷,高,"前提：做市商评价周期结果及生效通知单文件(输入)正确导入，做市商评级文件(数据仓库)正确导入，初审、复审均未修改评级内容

重现步骤：
1.执行批处理 se053zspjYYYYMMDD001.txt做市商评级文件导出 ，下载并查看本地文件
2.执行批处理 se053zspjYYYYMMDD001.txt做市商评级文件导出(数据仓库)，校验做市评级文件转发及TPMS系统本身产生文件的比对。

期望结果：批处理产生的se053zspjYYYYMMDD001.txt，内容正确，排序正确，且与信息中心发送的文件比对正确
实际结果：与信息中心发送的文件比对失败，批处理产生的文件，排序与信息中心不一致"
新基金业务管理系统,【封转开】时间问题,其他,高,"【封转开】时间问题

操作描述：

基金管理人提交申请。需求描述“T-3日前（终止上市日），基金管理人通过外部客户端填报相关封转开信”
需求描述T-3日前提交申请,申请日期应该<T+3。申请日期2月16号。T日等于2-21号。可以提交，不符合需求描述
请查看附件

申请日期和终止上市日小于T-3日系统提示“应在终止上市首日3天前填报提交申请信息!”。请查看附件"
交易参与人系统,【程序优化】期权专场培训，经纪商上传报名信息，数据格式校验均为限长20字符，无特殊校验,优化,低,"重现步骤：
1.使用任意期权经纪商登录交易参与人系统；
2.点击【期权培训】-【期权专场培训】，选择任意可报名课程，点击【报名】；
3.报名详细页面，点击【模板下载】；
4.在下载的EXCEL《报名导入》表中，邮编输入1111111邮箱输入XXXXXXXXX.com等
5.报名详细页面，点击【导入】，选择刚填写的excel；

期望结果：特殊字段有特殊校验，如手机格式，邮箱格式，邮编格式
实际结果：特殊字段没有特殊校验，均为限长20个字符"
交易参与人系统,【程序优化】期权专场培训，课程管理员新增课程，课程编号没有唯一性校验,优化,低,"重现步骤：
1.使用课程管理员账号登录交易参与人系统；
2.点击【期权培训】-【期权专场培训】，点击【新建课程】；
3.正确填入所有信息，点击【保存】；
4.课程列表页面，再次点击【新建课程】；
5.重复填入上一条课程所有信息，点击【保存】；

期望结果：系统提示“课程编号重复，请重新输入”
实际结果；系统无提示，保存成功，课程编号无唯一校验（无法区分相关课程）"
新基金业务管理系统,【信息披露】复核审核不通过,缺陷,普通,"操作描述

信息披露复核审核不通过
1、基金公司填报信息披露申请
2、初审审核通过
3、复核审核 提示“操作失败，请联系管理员”。请查看附件

期望结果：审核通过

"
新基金业务管理系统,【ETF上市】复审审核完成，发送通知单，通知单名称和点击下载后显示的名称不一致,优化,低,"测试环境：http://197.2.17.1:64380/fms/
操作步骤：1.基金管理人提交ETF上市申请，初审审核通过
          2，复审审核通过，发送通知单，点击：跨境ETF上市通知单后的下载按钮 

实际结果：下载的文件名为：跨市场股票ETF上市通知单
期望结果：和页面上通知单名称保持一致"
新基金业务管理系统,【ETF拆分】初审录入开盘参考价，审批通过时，提示错误,优化,低,"测试环境：http://197.2.17.1:64380/fms/
操作步骤：1.基金管理人提交ETF拆分申请，主办审核通过，复审审核通过
          2.主办录入开盘参考价，点击通过，提示：请在权益登记日后一天审核
          3.进入数据库找到：FMS_FUND_SPLIT_APPLY，把权益登记日字段：2017-02-22改成2017-02-14 （系统当前日期为2017-02-15）
          4.进入系统，主办录入开盘参考价，权益登记日显示2017-02-14，点击通过，提示：请在权益登记日后一天审核  （系统当前日期为2017-02-15）

实际结果：在权益登记后一日进行审核，也会出现提示，审批不通过
期望结果：修改时间后，在权益登记后一日进行审核，应该要审批通过

备注：ETF合并也有同样的问题"
新基金业务管理系统,【ETF发行】复审审核通过，发送通知单，点击完成按钮无反应，列表页操作列状态为发送通知单,优化,低,"操作环境：http://197.2.17.1:64380/fms/
操作步骤：基金管理人提交ETF发行申请，主办审核通过
          复审审核通过，点击发送按钮紧接着点击完成按钮

实际结果：关闭提示信息后，完成按钮成灰色显示不能操作，列表页操作列状态为发送通知单
期望结果：通知单发送成功，列表页操作列状态为查看详情，查看通知单

备注：实际通知单已发送成功，该发行的代码可以做上市流程"
新基金业务管理系统,【ISIN代码申请】基金管理人提交申请，面值字段填写错误也可以提交成功,优化,低,"测试环境：http://197.2.17.1:64380/fms/
前提条件：代码申请完成
操作步骤：基金管理人提交ISIN代码申请，面值地段填写：20.

实际结果：基金管理人提交成功
期望结果：基金管理人提交失败，提示：面值字段填写错误

备注：需求上没要求面值字段要精确到小数位"
新基金业务管理系统,【上证LOF上市】待办委拖，审核时流转错误,缺陷,低,"前提条件，有两个所内业务人员wm和wm1，现在把wm的全部业务委托给wm1
操作步骤：
1。基金管理人提交LOF上市申请单，初审（wm1）审核通过，流转到复审，复审选择wm
2.wm可以复审，wm1无法复审
期望结果：wm和wm1都可以复审
实际结果：wm可以复审，wm1无法复审"
新基金业务管理系统,【基金连续停牌】上证连续停牌通知单打开空白,缺陷,低,"操作步骤：
1.基金公司提交申请单，初审审核通过
2.流转到复审复审审核通过，发送通知单，点击完成
3.下载通知单，然后打开通知单
实际结果：通知单打开后内容为空白
期望结果：通知单打开后内容正常
"
新基金业务管理系统,【实时申赎货币市场基金放开】通知单公告日期显示不对,优化,普通,"实时申赎货币市场基金放开通知单公告日期显示不对
1、实时申赎货币市场基金放开申购赎回通知单，公告日期显示错误。实际结果：noticeDate
2、实时申赎货币市场基金行情专用代码通知，公告日期显示错误。实际结果：noticeDate

期望结果：根据实际输入公告日期正确显示

测试数据：
基金公司：91113101/111111

初审：licui/111111
复核：huiyuan/111111"
新基金业务管理系统,【上证基金通摘牌】连续停牌通知单少了复牌日,优化,普通,"【上证基金通摘牌】连续停牌通知单少了复牌日

前置条件
1、上证基金通摘牌流程通过
2、下载基金连续停牌通知单

需求描述复牌日，下载通知单里面没有复牌日。期望结果：与需求描述一致，输出复牌日

签名图片显示错误，期望结果。签名文件与所内用户上传图片一致

"
新基金业务管理系统,【放开申购赎回及转托管】通知单问题,优化,普通,"操作描述。
前置条件：
放开申购赎回及转托管流程审核结束，

问题1、通知单的发送部门和需求描述也不一致。需求描述：传真至交易管理部、系统运行部、信息中心、信息公司、指数公司及中登北京。系统发送单位无信息公司、指数公司及中登北京。请查看附件。期望结果：系统通知单发送部门与需求描述一致

问题2、查看通知单业务数据。公告日期显示字母，期望结果根据输入信息正确显示公告日期。请查看附件
问题3、通知单签名不对。请查看附件

"
新基金业务管理系统,【上证基金通发售】问题记录,优化,高,"1、基金公司提交申请，认购日期与申请日期不符合需求描述.需求描述：基金管理人应于T-3日（T为认购起始日）前通过外部客户端填报上证基金通发售信息。业务操作：认购日期T2017-2-15、申请日期：2017-2-13。在T-3日以内。请查看附件

2、通知单签名图片不对，请查看附件"
新公司业务管理系统,【页面优化】操作复核切换页，监管复核设置后，字段显示错误,优化,普通,"重现步骤：
1。操作复核角色登陆系统；
2。进入【操作复核】-【操作复核切换】页面；
3。在操作复核A的[监管复核设置]栏，选择监管复核为“肖谊”；
4。点击【确定】；
5。点击【保存设置】；

期望结果：操作复核B的监管复核栏显示为：肖谊，
实际结果：操作复核B的监管复核栏显示为：肖谊、秦懿
备注：监管复核设置后，操作复核对应的监管复核权限功能正常，只有字段显示错误"
新公司业务管理系统,【紧急停牌】早间披露公告，错发回收后再次提交，超过8:40未审核通过，无短信提醒,缺陷,高,"重现步骤：
1.初审分管的上市公司在8点40前提交信息披露早间紧急停牌公告（未添加停复牌业务申请单）；
2.该上市公司在8点40前错发回收该停牌公告；
3.该上市公司在8点40前修改该公告（添加停复牌业务申请单）后，再次提交公告；
4.该公告超过8:40未审核通过；

期望结果：早间停牌提交后，超过8:40未审核通过，短信提醒初审和复核
实际结果：超过8:40未审核通过，无短信提醒"
新基金业务管理系统,【信息披露】新基金系统发送给信息公司信息披露公告xml疑问,其他,高,"【信息披露】新基金系统发送给信息公司信息披露公告xml疑问

1、xml输出的数据类型测试依据什么检查。xml中的Long和Integer依据什么定义。请查看附件。批次信息疑问1
2、公告信息披露-文件表。xml输出文件大小数据类型不对，请查看附件。文件表疑问2.bmp
3、短信发送接口。xml输出与需求文档不一致。xml少一个字段“SEQ”，请查看附件：短信SEQ
4、正文类型表。字段“NEED_AUDIT”确认。需求描述中没有“2：其他（直通车）”类型。请确认。请查看附件"
新公司业务管理系统,【建议优化】紧急停牌超时未审核提醒优化,优化,低,"【优化】紧急停牌超时未审核提醒优化
1.初审分管的上市公司在8点40前提交早间紧急停牌
2.初审在8点40前审核通过
3.8:40后复核审核不通过，退回初审
4.实际结果：退回至初审没有提示
建议优化：8:40后退回到初审也进行消息提示
"
新基金业务管理系统,【系统无法访问】修改系统时间，系统无法访问,其他,高,"【系统无法访问】修改系统时间，系统无法访问

1、修改系统时间。请查看附件
2、树人云里面的重启应该服务fms-fms-lc 。访问地址：http://196.123.133.34:81/ui/app/list/all
3、访问http://197.2.16.1:8080/fms/

实际结果，浏览器显示空白
期望结果：浏览器正常显示登录页面

"
新公司业务管理系统,【版本交付】新公司v7.1_276_01交付邮件中标题错误,其他,低,"交付邮件标题：[业务管理系统 - 版本交付单 #21798] (版本验证) 【新公司业务管理系统】v7.1_265_01版本已就绪NOTE#01
实际上应该为：[业务管理系统 - 版本交付单 #21798] (版本验证) 【新公司业务管理系统】v7.1_276_01版本已就绪NOTE#01"
新基金业务管理系统,【信息披露】新增信息披露申请，添加附件提交成功后，查看记录时附件显示错误,优化,普通,"测试环境：http://197.2.146.1:8080/fms
操作步骤：1.新增信息披露申请，上传.doc文件保存成功
          2.在列表页点击修改，添加另外一个pdf文件，点击提交，提交成功
          3.在列表页点击查看按钮
实际结果：页面只显示pdf文件
期望结果：页面显示doc和pdf两个附件"
新基金业务管理系统,【信息披露】保存出现黑屏,优化,高,"操作描述

1、基金公司登录系统
2、信息披露页面，分别添加定期公告和临时公告
3、点击保存成功（附件添加、附件不添加）
4、到列表页点击修改，删除附件。点击保存，出现黑屏。请查看附件

期望结果：正常保存

测试数据：
长江证券 
91113101/111111
91113102/111111

证券代码：519752
"
新基金业务管理系统,【实时申赎货币基金】流程问题,缺陷,高,"【实时申赎货币基金】流程问题。基金公司发起业务
1、实时申赎货币基金发行业务，基金管理人发起、复核审核异常500
2、 实时申赎货币基金放开申赎业务无法操作，原因：实时申赎货币基金发行业务审核不通过
3、 实时申赎货币基金摘牌，业务无法操作，原因：实时申赎货币基金发行业务审核不通过

测试数据：
长江证券 
91113101/111111
91113102/111111"
新基金业务管理系统,【代码申请】保存按钮无效,缺陷,高,"操作描述
1、基金公司登录系统
2、到代码申请列表页，新增封闭式基金
3、点击保存、提示保存成功
4、到代码申请列表页，查看新增数据。请查看附件

期望结果：显示新增数据
实际结果：没有新增数据

测试数据
长江证券 
91113101/111111

"
新基金业务管理系统,【基金代码申请】列表页和详情页的申请日期显示不正确,缺陷,低,"重现步骤：
1.2017-02-07日基金管理人填写代码申请单，点击提交
2.检查列表页和详情页的申请日期
期望结果：申请日期为2017-02-07
实际结果：申请日期为2017-01-19"
新基金业务管理系统,【上证基金通业务流程】关联问题,缺陷,高,"1、上证基金通发售业务、基金管理人发起、复核审核失败
2、上证基金通摘牌业务无法操作，原因：上证基金通发售审核不通过
3、上证基金更名业务无法操作，原因：上证基金通发售审核不通过
4、放开申购赎回及转托管，原因：上证基金通发售审核不通过"
新基金业务管理系统,【上证基金通发售】复核审核出现异常,缺陷,紧急,"【上证基金通发售】复核审核出现异常

操作描述
1、添加上证基金通代码，审核通过
2、基金公司发起上证基金通发售业务流程
3、初审通过，提交给复核审核

期望结果：复核审核通过
实际结果：出现异常
请查看附件
测试数据

基金公司
91113101/111111  91113102/111111
初审：cui.li/111111
复核：huiyuan/111111
证券代码：519752"
新基金业务管理系统,【基金连续停牌】基金管理人添加申请保存后，点击修改，证券代码为空且不可选,优化,普通,"测试环境：http://197.2.146.1:8080/fms/
操作步骤：1.基金管理人添加基金连续停牌申请，点击保存
          2.点击修改按钮，进入修改页面
实际结果：证券代码为空，不能选择
期望结果：证券代码为已填写的代码"
新基金业务管理系统,【ETF拆分】复审审核出错，点击通过报500错误,缺陷,普通,"测试环境：http://197.2.146.1:8080/fms
操作步骤：1.基金管理人添加ETF拆分申请
          2.初审审核通过
          3.复审点击通过报500错误

备注：ETF合并、实时申赎货币基金发行、上证基金通发售也存在同样的问题"
新基金业务管理系统,【上证LOF上市】复审点击通过后页面报错,缺陷,低,"重现步骤：
1.基金管理人提交申请单
2.初审审核通过，申请单流转到复审
3.复审点击通过
期望结果：页面正常跳转到发送申请单页面
实际结果：页面报错"
风险处置_内部,备兑持仓需求，一键撤单后页面字段标题不够精确,,普通,"如图， 一键撤单成功后，申报时间为 '093010',撤单时间为空 标题为申报时间，实际显示为撤单时间

需求上写
申报时间 字符 左对齐 申报指令为申报时间；撤单指令为撤单时间
实际：
一键撤单后页面（备兑证券不足强行平仓-强行平仓撤单跟踪明细查询），均为撤单时间，因此标题应为撤单时间，申报时间的话会与申报时间弄混
另：跟踪页面（备兑证券不足强行平仓-强行平仓跟踪明细查询），申报的为申报时间，撤单的为撤单时间，因此建议标题改为 “申报（撤单）时间”"
新债券业务管理系统,[债券代码]：债券代码申请，债券受托管理人为空时提交，提示信息显示2遍,优化,普通,"重现步骤：
1.使用任意承销商登录债券业务管理系统；
2.点击【业务办理】-【债券代码】；
3.债券代码业务列表页，点击【债券代码申请】；
4.债券代码申请表页，债券受托管理人不填写，其余信息正确填写，点击【提交】；

期望结果：页面正确提示“[债券受托管理人]不能为空”
实际结果：页面提示“[债券受托管理人]不能为空 [债券受托管理人]不能为空”
"
数据管理_内部,V3.1-套保账户导入后账户类型仍显示为4,,普通,如图
风险处置_内部,平仓保存后再点平仓，会出现报错,,普通,如图
风险处置_内部,限价平仓后一键撤单操作失败，无提示原因,优化,普通,如图
新债券业务管理系统,[债券代码]：债券代码申请，债券全称，字首字中的空格未检验,缺陷,普通,"重现步骤：
1.使用任意承销商登录债券业务管理系统；
2.点击【业务办理】-【债券代码】；
3.债券代码业务列表页，点击【债券代码申请】；
4.债券代码申请表页，证券全称输入“     空格  证券 ”，其余信息正确填写，点击【提交】；

期望结果：页面提示“请正确填写债券全称”
实际结果：债券全称，字首字中的空格未检验，提交成功"
新债券业务管理系统,[债券上市]：总复核岗审核通过后，流转至承销商，承销商处理时，无法上传汇款信息附件,缺陷,高,"前提：债券上市流程，总复核岗已审核通过，流程流转至承销商
重现步骤：
1.使用发起流程的承销商账号登录债券业务管理系统；
2.点击【业务申请】-【债券上市】；
3.债券上市业务列表页，选择该条债券上市信息，点击【修改】；
4.待审申请表详情页，查看汇款信息。

期望结果：可以正确上传汇款信息
实际结果：无法上传汇款信息，缺少控件
"
交易参与人系统,【程序优化】期权自营机构及自营账户查询：部分字段无内容，与需求不符,优化,普通,"步骤重现：
1.管理员用户登录系统
2.查询统计>期权自营机构及自营账户查询
3.查看页面列表内容
预期结果：该页面内容完整，无空缺字段
实际结果：该页面除自营机构名称外，其余字段均无内容。"
新基金业务管理系统,复核审核异常,缺陷,高,"步骤描述：
1、访问：http://197.2.16.1:8080/fms
2、新增上证基金通、实时申赎代码、审核通过
3、基金公司提交上证基金通发售、实时申赎货币基金发行业务流程
5、初审通过
6、复核审核失败，出现异常。请查看附件

期望结果：审核通过"
交易参与人系统,【程序优化】界面风格：系统中各个模块的界面风格不统一,优化,低,"步骤重现：
用户登录系统
查看各个模块的当前位置和列表表头
预期结果：每个模块都有当前位置路径，列表表头的界面风格一致
实际结果：部分模块没有当前位置路径，部分列表表头风格不一致"
新基金业务管理系统,系统时间显示不对,缺陷,高,"操作描述：
1、修改服务时间到：20：00 服务器时间已修改成功。查看附件
2、访问新基金：http://197.2.16.1:8080/fms

实际结果：显示的本地电脑时间。 期望结果 20：00"
交易参与人系统,【程序优化】问卷调查：用户查看问卷调查时可以编辑题目,优化,普通,"步骤重现：
1.用户登录系统
2.辅助功能-->问卷调查
3.选择一个问卷，点击查看
预期结果：仅能查看，不可编辑。
实际结果：可以查看，题目可以编辑，但不会被保存。"
查询汇总_内部,v3.1 - 持仓明细查询-按合约查询界面，持仓集中度计算有误,,普通,如图，持仓集中度不应大于1
交易参与人系统,查询统计信息至excel内容不准确,缺陷,低,"1.登陆ywfh1，点击查询统计-期权做市商账户查询
2.点击导出Excel键
3.检查导出的Excel内容
预期结果：Excel内容与页面内容一致
实际结果：权利仓持仓限额、总持仓限额、单日买入开仓限额与页面内容不一致"
交易参与人系统,系统内查询文本框输入特殊字符，搜索项为全部内容,优化,低,"1.登陆ywcs1,点击查询统计>期权自营机构及自营账户查询
2.信息查询-自营机构名称栏中输入%或&
3.点击搜索
预期结果：无相应搜索内容项
实际结果：显示全部内容项
备注：以下栏目的搜索栏也存在上述现象
查询统计>期权做市商及账户查询 
辅助功能>业务岗位联系方式报备查询
辅助功能>服务记录查询统计
期权做市商管理>业务开通审核
期权做市商管理>信息审核>持仓限额变更审核
等其他搜索项
"
查询汇总_内部,保留,,普通,详情见附件
查询汇总_内部,保留,,普通,详情参考截图
日常维护版本,EZCS：190启动，单独查看状态显示pri字段为N/A,,低,"测试步骤：
1、CC主机菜单（MENU-B-5-1-5）启动EZCS190
2、CC查看启动状态（menu- B-5-1-6）

预期结果：
查看到PRI字段有值

实际结果：
查看到pri字段显示N/A"
日常维护版本,ezcs主机都处于启动状态，通过CC主机菜单（B-5-1-7）查看得到的状态都是stop,,低,"测试步骤：
1、CC主机集群启动所有CS(B-1-2)(B-1-3)
2、启动成功，CC主机菜单查看启动状态（B-5-1-7）

预期结果：
1、成功启动的EZCS显示RUNNING

实际结果:
1、启动成功的EZCS显示STOPPED

"
内部测试,保留,,普通,
交易参与人系统,【程序优化】修改业务通知：添加接收用户的已选人员列表中没有用户,优化,普通,"步骤重现：
1.业务管理员登录系统
2.业务通知-->已发通知-->更多-->修改业务通知
3.点击添加收件用户
4.查看弹出添加通知接收用户框
预期结果：已选用户列表中显示已经选择的用户
实际结果：已选用户列表中没有内容"
查询汇总_内部,【v3.1】套保账户查询页面，在有持仓有成交情况下，不能直接通过选择期权经营机构查询出结果,,普通,如附件图片
数据管理_内部,全量部署时log有报错 init_aedev.log,,普通,"全量部署时LOG有报错，插入文件中多了ROWID字段，后续请更正
7 records loaded
Loading ETF_FUND_DATA_REC...
insert into ETF_FUND_DATA_REC (FUND_ID, FUND_NAME, INVESTOR_ACCOUNT_ID, IOPV_CODE, PRC_CODE, P_R_CODE, FUND_COMPANY_NAME, REMARK, FIRST_STOCK, FILE_NAME, LISTDATE, ROWID)
                                                                                                                                                                    *
ERROR at line 1:
ORA-01747: invalid user.table.column, table.column, or column specification 


insert into ETF_FUND_DATA_REC (FUND_ID, FUND_NAME, INVESTOR_ACCOUNT_ID, IOPV_CODE, PRC_CODE, P_R_CODE, FUND_COMPANY_NAME, REMARK, FIRST_STOCK, FILE_NAME, LISTDATE, ROWID)
                                                                                                                                                                    *
ERROR at line 1:
ORA-01747: invalid user.table.column, table.column, or column specification 


insert into ETF_FUND_DATA_REC (FUND_ID, FUND_NAME, INVESTOR_ACCOUNT_ID, IOPV_CODE, PRC_CODE, P_R_CODE, FUND_COMPANY_NAME, REMARK, FIRST_STOCK, FILE_NAME, LISTDATE, ROWID)
                                                                                                                                                                    *
ERROR at line 1:
ORA-01747: invalid user.table.column, table.column, or column specification 


insert into ETF_FUND_DATA_REC (FUND_ID, FUND_NAME, INVESTOR_ACCOUNT_ID, IOPV_CODE, PRC_CODE, P_R_CODE, FUND_COMPANY_NAME, REMARK, FIRST_STOCK, FILE_NAME, LISTDATE, ROWID)
                                                                                                                                                                    *
ERROR at line 1:
ORA-01747: invalid user.table.column, table.column, or column specification 


insert into ETF_FUND_DATA_REC (FUND_ID, FUND_NAME, INVESTOR_ACCOUNT_ID, IOPV_CODE, PRC_CODE, P_R_CODE, FUND_COMPANY_NAME, REMARK, FIRST_STOCK, FILE_NAME, LISTDATE, ROWID)
                                                                                                                                                                    *
ERROR at line 1:
ORA-01747: invalid user.table.column, table.column, or column specification 


insert into ETF_FUND_DATA_REC (FUND_ID, FUND_NAME, INVESTOR_ACCOUNT_ID, IOPV_CODE, PRC_CODE, P_R_CODE, FUND_COMPANY_NAME, REMARK, FIRST_STOCK, FILE_NAME, LISTDATE, ROWID)
                                                                                                                                                                    *
ERROR at line 1:
ORA-01747: invalid user.table.column, table.column, or column specification 


insert into ETF_FUND_DATA_REC (FUND_ID, FUND_NAME, INVESTOR_ACCOUNT_ID, IOPV_CODE, PRC_CODE, P_R_CODE, FUND_COMPANY_NAME, REMARK, FIRST_STOCK, FILE_NAME, LISTDATE, ROWID)
                                                                                                                                                                    *
ERROR at line 1:
ORA-01747: invalid user.table.column, table.column, or column specification "
查询汇总_内部,【v3.1】套保账户查询，有持仓的情况下，无法通过标的券代码准确查询到相应套保账户数据,,普通,"1.进入套保账户查询页面
2.经营机构和标的券代码选择全部，点击查询，可以查询到数据
3.标的券代码选择601318，点击查询，无法查询到数据"
查询汇总_内部,【v3.1】套保账户查询页面，开始日期和结束日期输入非数字文字，点击查询后的提示文案不恰当,,低,"套保账户查询页面，开始日期和结束日期输入非数字文字，点击查询后的提示为:当前交易日为：20140822，结束日期不能大于20140822

期待提示为:时间长度和格式（YYYYMMDD ）要求的不一致，请重新输入"
查询汇总_内部,v3.1 - 套保账户查询页面，持仓、现货持仓都没有时应显示为0,,普通,"（认沽权利仓*合约单位+认购义务仓*合约单位）/现货持仓
分子分母都为0应该记录为0，非999

在 成交、期权持仓、现货持仓 三者都没有的情况下，连标的字段都无法关联到，本人理解该记录可以不显示"
查询汇总_内部,v3.1 - 套保账户查询页面，0821一天的查询结果多于 0821~0822的查询结果,,普通,如附件
查询汇总_内部,v3.1 - 持仓明细查询-按期权经营机构查询界面，标题与内容不一致 ,,普通,如图，标题为 “期权代码”，下方的查询结果非期权代码
查询汇总_内部,v3.1 - 套保账户查询页面，期权经营机构控件选择ALL 之后 其它没有自动全选,,普通,"选择ALL 之后 其它没有自动全选 
且 期权经营机构控件的 ALL 全部  位置不定，如图"
预警管理_内部,v3.1 - ORC062结果最大值多一位9,缺陷,普通,"期待结果：999  
实际结果：
合约套保B888803147（套保预警测试账户5、套保预警测试账户5）上一交易日总交易5001张，对50ETF（510050）的（认购权利仓+认沽义务仓）/（认购义务仓+认沽权利仓）为999999.00%。"
