项目,主题,问题类型,优先级,描述
ERP系统_内部,20170630 (补) 未延迟年假，在当年年假休完，去年未休完的情况下，申请上半年的年假，无法申请,缺陷,高,"前置条件：没有延迟去年的年假

操作步骤：1、去年年假未休完，今年年假已休完
         2、申请上半年的年假

预期结果：可以申请

实际结果：无法申请"
债券监管信息系统二期,操作日志页面下‘新增’操作对应的用户名和IP地址取空,"",普通,"操作系统：Windows 7 64位
浏览器：Firefox 50.0
系统管理员打开操作日志页面，‘新增’操作所对应的用户名和IP地址取空。"
债券监管信息系统二期,系统管理员对操作日志页面有下载日志功能，目前系统没有实现,"",高,"系统管理员对操作日志页面有下载日志功能，目前系统没有实现
预期结果：系统管理员查看操作日志页面时，有下载日志的入口
实际结果：系统管理员查看操作日志页面时，没有下载日志的入口


Windows7 32位操作系统 IE10.0  firefox 50.0"
债券招标发行系统_内部,相同机构用非上传的存储网关的用户用CA证书可以登录系统,"",高,"相同机构用非上传的存储网关的用户用CA证书也可以登录系统
步骤：
1.上传txt文件用户nyyh01和flg文件到存储网关
2.执行批处理程序
3.用CA证书登录
相同机构用非上传的存储网关的用户nyyh02,nyyh03用CA证书也可以登录系统，排除了IPlist白名单的因素
IPlist设置为195.*。*。*"
EZEI重构,<<EzEI_MAL_升级部署手册>>评审意见,文档,普通,"一、EzEI_E000108版本的<<EzEI_MAL_升级部署手册.xls>>评审意见：
步骤2：
menu改为./menu
步骤4：
第2、3是第一个cp命令，第4、5行是第二个cp命令，第6、7行是第三个cp命令，第8、9行是第四个cp命令，
将这四个命令直接拷贝到主机RST589上时，都是单独的两行，不是一个完整的命令。
步骤5：
升级包名称应为：RNewEzEIE000108.tar.gz。
步骤9：
""Please Input Environment number:88""之后添加“回车”。

二、EzEI_E00010803版本的<<EzEI_MAL_升级部署手册.xls>>评审意见：
步骤2：
menu改为./menu
步骤4：
第2、3是第一个cp命令，第4、5行是第二个cp命令，第6、7行是第三个cp命令，第8、9行是第四个cp命令，
将这四个命令直接拷贝到主机RST589上时，都是单独的两行，不是一个完整的命令。
步骤5：
升级包名称应为：RNewEzEIE00010803.tar.gz。

三、http://svn.tc.com/CTPDoc/EzEIRefactor/开发管理/运行文档/EzEI_MAL_升级部署手册.xls评审意见
步骤4：
差异文件包E010107_88.patch.tar.gz在哪里？"
新基金业务管理系统_内部,【基金连续停牌】基金公司发起，填报人电子邮箱输入较长。在列表中，点击查看，填报人电子邮箱无法完全显示,优化,低,"
【环境】
http://196.123.134.38/fms
【步骤】
1、基金连续停牌，基金公司发起，填报人电子邮箱输入较长。在列表中，点击查看
【预期结果】
1、全部显示
【发现问题】
1、填报人电子邮箱无法完全显示，建议优化
测试人员：田进"
新基金业务管理系统_内部,【基金连续停牌】发送通知单页面，基金连续停牌通知单，发送部门，产品创新中心改成产品创新中心（仅ETF）,优化,低,"
【环境】
http://196.123.134.38/fms
【步骤】
1、基金连续停牌】发送通知单页面，基金连续停牌通知单，发送部门，产品创新中心改成产品创新中心（仅ETF）

测试人员：田进"
新基金业务管理系统_内部,【分级LOF暂停及恢复申购等业务】修改通知单发送页面的发送单位,需求变更,高,"【环境】
http://196.123.134.38/fms
【步骤】

【预期结果】
1、将综合结算总部基金业务部改为中登北京，将中国结算上海分公司改为中登上海
【发现问题】
1、
测试人员：廖丹"
债券监管信息系统二期,信息披露页面查询项显示与需求文档中不符,"",普通,"需求文档中信息披露页面查询项字段有：债券代码 债券简称 发行方式 企业性质 是否属于上市公司
                                    债项评级 主体评级 债券类型  公告类别 披露时间

Boss系统中信息披露页面查询项字段有：债券代码 债券简称 发行方式 企业性质 是否属于上市公司 公告类别
 
系统实现与需求文档不符

Windows7 32位操作系统 IE10.0  firefox 50.0


"
债券监管信息系统二期,信息披露页面是否为上市公司选项未增新增选项,"",普通,"操作系统：Windows 7 64位
浏览器：Firefox 50.0
需求文档中说在信息披露页面中，是否为上市公司选项框下，新增加‘全部’选项。
但用户进入信息披露页面后在该选项框的下拉列表里只能看到“是”“否”选项。"
债券监管信息系统二期,用户修改密码后，管理员重置该用户密码后，默认密码无法正常登录,"",高,"用户自己修改密码成功后，系统管理员对该用户密码进行重置，重置成功后，再用该用户登录系统，默认密码不可以登录系统，用户自己修改的密码也不能登录系统
用户分别用了xm 和dlh 两个用户


Windows7 32位操作系统 IE10.0  firefox 50.0"
新基金业务管理系统_内部,【基金分红】发送通知单页面，基金红利派发通知，发送部门，衍生品业务部改成产品创新中心衍生品业务部,需求变更,低,"
【环境】
http://196.123.134.38/fms
【步骤】
1、【基金分红】发送通知单页面，基金红利派发通知，发送部门，衍生品业务部改成：产品创新中心衍生品业务部

测试人员：田进"
债券监管信息系统二期,资产支持证券基本情况页面列表字段有误,"",普通,"操作系统：Windows 7 64位
浏览器：Firefox 50.0
资产支持证券基本情况页面‘投资者结构’字段未设置为弹窗，并且其下所包含的三个字段与需求文档不一致。

投资者结构字段下，日期无特别标志"
新基金业务管理系统_内部,【基金分红】复核页面，点击通过后，跳转至发送通知单页面，点击返回。页面直接跳到列表页了,缺陷,普通,"
【环境】
http://196.123.134.38/fms
【步骤】
1、基金分红复核页面，点击通过后，跳转至发送通知单页面，点击返回
【预期结果】
1、返回复核页面
【发现问题】
1、直接跳转至分红列表页面了，且操作栏变为发送通知单和作废。。。还没有发送通知单，怎么操作会变成这个？
测试人员：田进"
新基金业务管理系统_内部,【基金分红】所内代办，每份红利栏位未做十位字符限制。超过十位字符，保存时会报错，保存失败。且保存提交关闭按钮失效,优化,普通,"
【环境】
http://196.123.134.38/fms
【步骤】
1、基金分红，所内代办，每份红利栏位输入超过十位字符，点击保存
【预期结果】
1、直接限制栏位长度
【发现问题】
1、保存失败，点击确定后，保存提交关闭按钮失效。建议像基金公司办理页面一样，直接限制输入10位以内
测试人员：田进"
新基金业务管理系统_内部,【基金分红】基金公司提出申请，证券代码栏位，请选择证券代码下拉框，点击一次不出现证券代码，必须点击两次才能出现，建议优化,优化,普通,"
【环境】
http://196.123.134.38/fms
【步骤】
1、基金分红，基金公司提出申请，证券代码栏位，请选择证券代码下拉框，点击
【预期结果】
1、直接出现待选代码
【发现问题】
1、点击一次不出现证券代码，必须点击两次才能出现，建议优化
测试人员：田进"
债券监管信息系统二期,数据为空时，点击查询，提示问题,"",高,"1.用户在查询项中输入要查询的字段值，在没有数据的情况下，点击搜索

预期结果：提示用户没有符合该条件的数据
实际结果：页面没有任务提示或是提示附件图显示的提示
Windows7 32位操作系统 IE10.0"
新基金业务管理系统_内部,【基金分红】业务列表，只有在第一页时输入查询条件能够查询出结果，不在第一页时，查询无任何结果,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金分红业务列表，只有在第一页时输入查询条件能够查询出结果，不在第一页时，查询
【预期结果】
1、一样能够根据条件查询出结果
【发现问题】
1、查询不出任何结果，基金公司和所内都是如此
测试人员：田进"
新基金业务管理系统_内部,【上证基金通发售变更】基金公司发起，先选择一个未发售的代码，然后再选择一个已经发售的代码，提交和保存时出错,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司发起，先选择一个未发售的代码，然后再选择一个已经发售的代码，点击提交
【预期结果】
1、可以正常提交和保存
【发现问题】
提交报错：证券代码无效!
测试人员：严强"
债券监管信息系统二期,用户查看基本情况模块下的企业债或是公司债，多选框选择全部时有问题,"",高,"用户查看基本情况模块下的企业债或是公司债，多选框选择全部时有问题
预期结果：选择了全部之后，其余子项不能再选择成功
实际结果：选择了全部之后，其余子项也都可以选择成功


Windows7 32位操作系统 IE10.0"
行情监测平台,【业务通知单系统】【前台】先登录到超级管理员，切换到历时监测界面，再退出来，使用中级权限登录到历时监测后，界面显示为全部部门监测情况,"",高,"1、使用超级管理员登录到后台，切换到历时监测界面
2、再使用中级权限的用户登陆，切换到历时监测界面
异常结果：中级用户登陆后，界面先刷新到中级后，又刷新到超级权限的监测界面，显示全部部门
预期结果：应直接显示中级权限"
新基金业务管理系统_内部,【上证基金通发售变更】基金公司和基金业务部发起时，基金全称字符超长后不显示，填报人电子邮箱也不显示,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1基金公司和基金业务部发起
【预期结果】
1、鼠标放上去后可以显示全部信息
【发现问题】
鼠标放上去后无法显示
测试人员：严强"
债券监管信息系统二期,公司债及企业债基本情况页面列表字段显示与需求文档不符,"",普通,"操作系统：Windows 7 64位
浏览器：Firefox 50.0
1.以上交所债券部用户xm进入系统，打开公司债/企业债基本情况页面
2.该页面下的列表字段‘债券评级’在需求文档中为‘债项评级’。经确认应以需求文档为准。"
债券监管信息系统二期,系统中无提示来提醒用户本系统支持的浏览器以及浏览器版本,"",低,"系统中无提示来提醒用户本系统支持的浏览器以及浏览器版本
建议在用户登录页面加上提示，用以告知用户本系统支持的浏览器以及浏览器版本，以便用户能更好的使用本系统

Windows7 32位操作系统 IE10.0"
新基金业务管理系统_内部,【连续停牌】停牌起始日设定超过提前2天，提交时仍然弹出提示框,优化,高,"【环境】
http://196.123.134.38/fms
【步骤】
1、初审提交，501097，操作日6月30日，设定停牌起始日7月7日，点击提交

【预期结果】
1、提交成功
【发现问题】
提交不成功，系统弹出提示
测试人员：廖丹"
新基金业务管理系统_内部,【上证分级LOF基金】不定期折算业务，生成的通知单：基金暂停及恢复申购、赎回、转托管、拆分、合并通知单不生成,缺陷,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、上证分级LOF基金，不定期折算，生成通知单
【预期结果】
1、正常显示
【发现问题】
1、基金暂停及恢复申购、赎回、转托管、拆分、合并通知单不生成。可登陆tj，或tj1账户，查看新做的502003、502006代码
测试人员：田进"
行情监测平台,【业务通知单系统】【后台】登录后台历时监测后，等待一段时间后，提示查询报警信息失败,"",普通,"1、登录到后台历时监测界面后，等待一段时间，再操作查询等操作
异常结果：提示查询报警信息失败，响应信息为""Access Denied（403）
预期结果：建议多久后，自动退出或不可操作等准确信息"
行情监测平台,【业务通知单系统】【前台】用户为中级权限时，当无接收数据时，提示语为所有部门，提示不准确,"",普通,"1、设置某用户为中级权限，查询某时间段无接收数据的情况
异常结果：提示语中存在所有部门，中级权限只可看到本部门，不可看到所有部门，故提示不准确
预期结果：应可是本部门"
行情监测平台,【业务通知单系统】【前台】使用firefox登录账号或密码错误时，无提示,"",普通,"1、使用firefox登录用户账号，分别使用账号错误或密码错误，登录
异常结果：未提示信息
预期结果：建议有提示信息
备注：chrome浏览器提示NO MESSAGE AVAILABLE信息，建议提示中文，且相应提示账号或密码错误"
新公司业务管理系统_内部,【V7.2.2日常评价】评价列表（按公司）总减分负分分值显示分值为0,缺陷,高,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.使用初审（韩逸颖）登陆到日常信息披露评价页面
2.查看评价列表（按公司）总减分显示状态
【发现问题】
1.评价列表总减分列显示分值为0，点击查看里面是分值为负分
【分析】
彭允标待分析"
新基金业务管理系统_内部,【上证基金通更名】所内代办，基金公司信息列表也能显示该业务。与其他模块不一致！建议优化,优化,低,"【环境】
http://196.123.134.38/fms
【步骤】
1、上证基金通更名，所内代办。
【预期结果】
1、基金公司信息列表不显示
【发现问题】
1、基金公司信息列表也能显示该业务。与其他模块不一致！
测试人员：田进"
债券监管信息系统二期,创建用户时可以创建汉字或是带特殊字符的用户名,"",普通,"创建用户时可以创建汉字或是带特殊字符的用户名
1.系统管理员admin登录Boss系统
2.点击系统管理模块下的用户管理
3.点击创建用户，输入用户名：邓琛彧或邓丽红•唐加玲或是纯数字，点击确定

预期结果：提示用户：用户名仅支持英文数字下划线，用户不能创建成功
实际结果：用户创建成功

Windows7 32位操作系统 IE10.0"
新基金业务管理系统_内部,【ETF上市】初审填写开盘参考价后，系统无法自动生成中文大写,缺陷,紧急,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交申请
2、初审通过
3、复核通过
4、初审填写开盘参考价
【预期结果】
1、系统自动生成中文大写
【发现问题】
系统无法自动生成中文大写
测试人员：廖丹"
新基金业务管理系统_内部,【ETF上市】初审填写开盘参考价阶段，只要将光标放入开盘参考价输入框，就弹出提示,优化,紧急,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交申请
2、初审通过
3、复核通过
4、初审填写开盘参考价
【预期结果】
1、在未输入开盘参考价信息时，不会弹出提示框
【发现问题】
只要将光标放入开盘参考价输入框，就弹出提示
测试人员：廖丹"
新基金业务管理系统_内部,【ETF上市】初审填写开盘参考价阶段，只要将光标放入开盘参考价输入框，就弹出提示,优化,紧急,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交申请
2、初审通过
3、复核通过
4、初审填写开盘参考价
【预期结果】
1、在未输入开盘参考价信息时，不会弹出提示框
【发现问题】
只要将光标放入开盘参考价输入框，就弹出提示
测试人员：廖丹"
新基金业务管理系统_内部,【分级LOF暂停及恢复业务】基金公司发起，提交到初审，初审点击生成通知单，提示“该任务已经被审核”,缺陷,普通,"【环境】
http://196.123.134.38/fms
【步骤】
前置条件：
1、基金公司发起，提交到初审，初审点击生成通知单
【预期结果】
1、可以提交成功
【发现问题】
1、提示“该任务已经被审核”
备注：该代码没有做过定折和不定折业务，发起定折时读取不到代码信息
测试人员：严强"
新基金业务管理系统_内部,【上证基金通发售】去除公告日期验证,需求变更,普通,去除公告日期验证
新基金业务管理系统_内部,【上证LOF暂停及恢复申赎转托管】初审代填，保存被退回的申请，系统提示“保存失败”,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、初审代填信息，提交
2、复核不通过
3、初审从首页点击处理，进入详细页面，点击保存
【预期结果】
1、操作成功 
【发现问题】
1、系统弹出提示框：保存失败
测试人员：廖丹"
新基金业务管理系统_内部,【上证LOF暂停及恢复申赎转托管】基金公司在T-2日后提交申请，无信息提示，提交成功,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司设定日期为7月3日，操作日期为6月30日，点击提交
【预期结果】
1、提交不成功，提示设定日期应在T-2日前
【发现问题】
1、无提示，提交成功
测试人员：廖丹"
新公司业务管理系统_内部,【V7.2.2日常评价】评价列表（按公司）总加分0分不显示,缺陷,高,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.使用初审（韩逸颖）登陆到日常信息披露评价页面
2.查看评价列表（按公司）总加分显示状态
【发现问题】
1.评价列表总加分列不显示分值，点击查看里面是有分值的
【分析】
彭允标待分析"
债券监管信息系统二期,公司债基本情况页面查询项默认值与需求文档不符,"",低,"操作系统：WINDOWS7 64位操作系统
浏览器版本：Firefox 50.0
进入系统公司债基本情况页面 发行人所属证监局，发行方式，企业性质等查询项，需求中规定默认值为全部，但页面显示无默认值。"
债券监管信息系统二期,系统管理模块用户管理页面用户编号显示为空,"",普通,"系统管理模块用户管理页面用户编号显示为空，但是操作日志界面用户ID是有值的

Windows7 32位操作系统 IE10.0"
新公司业务管理系统_内部,仅报备董事会议决议审核-查询条件【关键字】查询不到相关数据,缺陷,普通,"测试步骤
1、内部用户登陆系统(账户: yanliu，初审 密码: 9 )
2、信息披露>信息披露>仅报备董事会决议，查询条件【关键字】输入列表中存在的关键字，点击查询
预期结果：列表中显示出输入查询的正确结果
实际结果：列表中无任何数据显示"
债券监管信息系统二期,金融办用户登录系统可以查看企业债与需求文档中说金融办权限公司债有悖,"",普通,"操作系统：WINDOWS7 64位操作系统
浏览器版本：Firefox 50.0
需求文档中说金融办查看仅限公司债，是不是表示金融办用户不能看到企业债基本情况页面
1.金融办用户登录系统能查看企业债基本情况页面
2.需求文档中说金融办查看仅限公司债

需求中发改委查看仅限企业债但也能查看到公司债基本情况。"
债券监管信息系统二期,创建角色用户时没有选择人员信息，但是用该用户登录时，会自动带出一些人员信息,"",普通,"创建角色用户时没有选择人员信息，但是用该用户登录时，会自动带出一些人员信息

1.系统管理员创建用户xm,保存成功
2.用xm登录Boss系统，查看系统管理模块下的用户信息
3.用户信息显示出来手机号和电子邮箱，详见附件

与开发沟通后，确认直接问题原因是新增人员的时候是没有提示

Windows7 32位操作系统 IE10.0"
新基金业务管理系统_内部,【封转开】基金公司填写的邮箱地址较长，主办审核页面，填报人电子邮箱栏位无法显示完全，只能显示20多位,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、封转开，基金公司填写的邮箱地址较长。去主办审核页面，查看填报人电子邮箱栏位
【预期结果】
1、显示完全
【发现问题】
1、只能显示20多位
测试人员：田进"
债券监管信息系统二期,系统管理员新建证券业协会角色用户问题,"",高,"系统管理员新建证券业协会角色用户fzhu成功后，用该用户登录系统，提示用户名密码错误，在系统管理员权限下重置密码提示失败。
后又新建该角色用户xx，创建成功后，登录系统同样提示用户名密码错误
Windows7 32位操作系统 IE10.0"
债券监管信息系统二期,系统管理员创建人员时，性别显示有问题,"",高,"系统管理员创建人员时，性别显示有问题
1。系统管理员登录Boss系统后，点击用户管理
2.点击用户管理页面的创建人员，正确填写各项数据性别选择男，保存数据
3.查看人员列表信息，步骤2中创建的人员显示性别为女
4.选中该条记录点击编缉，编辑页面显示性别情况为未选择男女

预期结果：性别选择为男时，保存成功后，该记录列表信息中的性别显示为男
实际结果：性别未选择或是选择为男时，列表信息中显示全部为女

Windows7 32位操作系统 IE10.0"
债券监管信息系统二期,系统管理员权限,"",普通,"用系统管理员用户admin登录Boss系统，查看基本情况模块
预期结果：可以查看基本情况模块以及其包的业务
实际结果：系统管理员目前只有查看首页、系统管理模块权限

Windows7 32位操作系统 IE10.0"
异常交易调查与追踪系统,20170629稽核调查，归档调查单节点，无法填写归档总结,缺陷,普通,"1.首页——稽核调查，创建一个调查单
2.流转到归档调查单节点，无法填写归档总结"
债券监管信息系统二期,系统管理员admin登录Boss系统查看操作日志页面,"",高,"系统管理员admin登录Boss系统查看操作日志页面时
1。用户IP显示错误
2。操作时间显示错误
3.模块与需求不符
Windows7 32位操作系统 IE10.0"
新公司业务管理系统_内部,统计与维护>上市公司综合信息-内幕信息知情人，查询条件【类别】下拉选项中没有列表中的选项数据,缺陷,普通,"测试步骤
1、内部用户登陆系统(账户: yanliu，密码: 9 )
2、统计与维护>上市公司综合信息>上市公司综合信息，选择上市公司600099
2、点击『内幕信息知情人链接』，查看查询条件『类别』中的下拉选项
查询条件【类别】下拉选项中没有列表中的选项数据"
新基金业务管理系统_内部,【上证基金通发售】基金公司发起流程，提交到初审，初审填写备注，提交到复核，复核退回给初审，初审删除备注，点击生成通知单，预览通知单中备注栏位没有删除，读取之前填写的备注,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
前置条件：
1、基金公司发起流程，提交到初审，初审填写备注，提交到复核，复核退回给初审，初审删除备注，点击生成通知单，预览通知单
【预期结果】
1、预览通知单中，备注栏位显示为空
【发现问题】
1、显示之前填写的备注信息
测试人员：严强"
新公司业务管理系统_内部,统计与维护>上市公司综合信息-内幕信息知情人，查询条件【首次披露日期】查询结果不正确,缺陷,普通,"测试步骤
1、内部用户登陆系统(账户: yanliu，密码: 9 )
2、统计与维护>上市公司综合信息>上市公司综合信息，选择上市公司600099
2、点击『内幕信息知情人链接』，只输入查询条件『首次披露日期』的开始日期，点击查询
预期结果：查询结果正确展示在第一列
实际结果：查询结果与查询条件不匹配

"
新公司业务管理系统_内部,监管日志及函件-【收函】-进入关联函件页面报错,缺陷,高,"测试步骤：
1）初审登录系统（用户名：yanliu 刘研 密码：9）
2）监管工作>监管日志及函件>函件处理-收函[tab]，列表中选择一条数据，点击操作列【关联】链接，进入到关联页面，页面左下角有报错信息显示。（网页上有错误）"
新基金业务管理系统_内部,【LOF分红】代码501731做基金分红业务，审核通过，生成暂停日期的SFPM文件，转托管标志位没有更新,缺陷,普通,"【环境】
http://196.123.134.38/fms
【步骤】
前置条件：
1、对代码501731做基金分红业务，审核通过
2、生成暂停起始日日期的SFPM文件
【预期结果】
1、转托管标志位需要改变
【发现问题】
1、没有改变
测试人员：严强"
债券监管信息系统二期,基本情况企业债基本情况页面更多选项功能问题,"",低,"基本情况企业债基本情况模块页面更多选项功能问题

1.登录Boss系统，进入企业债基本情况
2.点击企业债基本情况页面的更多选项按钮
3.选择一或是多个选择项，点击确定
4.刷新界面后，页面又重新变成如第1步操作时的页面
 公司债页面、资产支持证券基本情况、信息披露也都是这种情况
预期结果：程序保存用户选择的内容，详述见图1
实际结果：程序刷新或是退出之后，步骤3的操作没有被保存，详见图2
Windows7 32位操作系统 IE10.0"
新公司业务管理系统_内部,监察部往来函件-监察部函件及回函tab页-查询条件【发函人】查询结果不正确,缺陷,普通,"测试步骤：
1、内部用户(账号:xyhuang，密码:9)登陆>监管工作>监管日志及函件>监察部往来函件
2、打开发往监察部函件及回函tab页
3、清空查询条件，查询条件-【发函人】选择【刘研】，点击查询
预期结果：正确显示查询结果
实际结果：选择的查询条件结果没有显示在第一列，并且显示出【监察部】查询条件，查询条件-发函人的选项中并没有【监察部】这一选项
"
债券监管信息系统二期,公司债及企业债基本情况页面列表字段无备注栏,"",普通,"操作系统：WINDOWS7 64位操作系统
浏览器版本：Firefox 50.0
以上交所债券部用户xm登录系统后
查看公司债及企业债基本情况页面，列表字段无‘备注’栏。需求文档中有要求。"
新公司业务管理系统_内部,候选独立董事资格申报审核-没有【添加附件】功能,缺陷,高,"测试步骤：
1）初审登录系统（用户名：qiwu   密码：9）
2）监管工作-上市公司发起-候选独董任职资格审核
1、选择列表中一条数据，点击操作列下【处理】链接
2、点击【意见输入】，点击添加附件
预期结果：可以正常弹出【添加附件】选择框，并可上传相关附件
实际结果：没有添加附件按钮。"
异常交易调查与追踪系统,20170629调查单，查看单和审核单中监管历史信息中【结束时间】字段显示不完全,缺陷,普通,"前置条件：

测试步骤：
1.创建新的调查单，并将表单流转出去；
2.返回首页，点击在办调查单，打开查看单，查看监管历史信息中的字段显示是否正常；
3.下一个节点登录，点击审核单，查看监管历史信息中的字段显示是否正常；

预期结果:
1.表单流转成功；
2.字段显示正常；
3.字段显示正常；

实际结果：
1.表达流转成功；
2.监管历史信息中【结束时间】字段显示不完全；
3.监管历史信息中【结束时间】字段显示不完全；"
ERP系统_内部,出国申请单与考勤数据不关联问题,缺陷,普通,出国申请单中随行人员的出国申请与考勤数据不关联。不是毕现问题，有待排查。
ERP系统_内部,出国申请单人员离职问题,优化,普通,人员离职后已经办结的该人员的出国申请单也在列表上消失了，不方便后续查询，建议保留。
ERP系统_内部,出国申请单人员部门变更问题,优化,普通,人员部门如果发生变更，已办结的出国申请单的部门信息都会变更为最新的，不合理。
新基金业务管理系统_内部,【LOF份额放开交易】复核在通知单列表页面点击发送后，系统无反应（偶发）,缺陷,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交申请，
2、初审点击生成通知单，审核通过
3、复核审核通过，全选，点击发送

【预期结果】
1、操作有效，可点击完成按键
【发现问题】
1、页面未显示发送表示，不可点完成按键
测试人员：廖丹"
新基金业务管理系统_内部,【LOF暂停及恢复及转托管】对代码501741做过LOF分红业务，审核通过，再次对该代码发起LOF暂停流程，需要读取分红的转托管日期,需求变更,普通,"【环境】
http://196.123.134.38/fms
【步骤】
前置条件：
代码501741做过LOF分红业务，并且审核通过
1、再次对代码501741发起LOF暂停流程
【预期结果】
1、需要读取分红流程的转托管日期
【发现问题】
1、没有读取
测试人员：严强"
新基金业务管理系统_内部,【LOF份额放开交易】初审未填写停牌原因，点击生成通知单，系统无提示,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交申请，
2、初审未录入停牌原因，点击生成通知单

【预期结果】
1、弹出提示框，不能生成通知单
【发现问题】
1、无提示框，可生成通知单
测试人员：廖丹"
新基金业务管理系统_内部,【代码申请】基金公司提交代码申请流程，提交到初审，初审退回给基金公司，基金公司修改证监会核准募集批文号栏位信息，提交流程到复核，复核页面该栏位显示错误,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交代码申请流程，提交到初审，初审退回给基金公司
2、基金公司修改证监会核准募集批文号栏位信息，提交流程到复核，复核页面查看该栏位
【预期结果】
1、证监会核准募集批文号栏显示新修改的信息
【发现问题】
1、显示修改之前的信息
测试人员：严强"
新基金业务管理系统_内部,【LOF上市】复核无法成功发送通知单,缺陷,高,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交申请，
2、初审通过
3、复审通过，全选，发送通知单
【预期结果】
1、弹出提示框，除了中登北京，其他单位有发送标记，可点击完成按键
【发现问题】
1、所有单位都有发送标记，无法点击完成按键，流程无法继续
测试人员：廖丹"
新基金业务管理系统_内部,【LOF发行变更】复核无法成功发送通知单,缺陷,高,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交申请，
2、初审通过
3、复审通过，全选，发送通知单
【预期结果】
1、弹出提示框，除了中登北京，其他单位有发送标记，可点击完成按键
【发现问题】
1、所有单位都没有发送标记，无法点击完成按键，流程无法办结
测试人员：廖丹"
新公司业务管理系统_内部,初审-候选独董任职资格审核,缺陷,紧急,"测试账号：yanliu 刘研 初审  600099
测试步骤：
1.初审进入监管工作>上市公司发起>候选独董任职资格审核页面
2.审核状态选择“监管复核不通过”，点击查询
预期结果：
相应的记录应该显示【处理】，且点击处理进入处理页面
实际结果：
相应的记录显示【查看】，而不是处理"
异常交易调查与追踪系统,20170629稽核调查，确认调查单节点，会员营业部没有做校验：必须带-,缺陷,普通,"1.首页——稽核调查，创建调查单，
2.流转到确认调查单节点，新增调查单账户，“会员营业部”没有做校验：必须带-

期望：跟创建时的校验保持一致"
行情监测平台,【业务通知单系统】【前台】切换到历史监测模块后，未刷新当前数据,"",高,"1、登录到后台，切换到历史监测模块
异常结果：未刷新当前数据
预期结果：应刷新当前数据"
新基金业务管理系统_内部,【LOF发行变更】基金公司提交申请时，提示信息有误,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交申请，501557 点击提交
【预期结果】
1、提示信息中的变更终止日信息与申请页面一致
【发现问题】
1、提示信息中的变更终止日信息与申请页面不同
测试人员：廖丹"
新基金业务管理系统_内部,【LOF发行变更】基金公司提交申请操作无效,缺陷,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、基金公司提交申请，501380 点击提交
【预期结果】
1、操作有效，或弹出提示框告知无法提交原因
【发现问题】
1、无提示框，操作无效
测试人员：廖丹"
新基金业务管理系统_内部,【ETF上市】证券代码栏位为跨境ETF，流程结束，查看页面和录入开盘参考价界面，页面缺少申赎交收模式字段,优化,普通,"【环境】
http://196.123.134.38/fms
【步骤】
1、证券代码栏位为跨境ETF，流程结束，查看页面和录入开盘参考价界面
【预期结果】
1、需要有该字段
【发现问题】
1、页面缺少申赎交收模式字段
测试人员：严强"
EZEI重构,存储网管获取文件不校验flg文件的问题,优化,低,"根据李义军、王雪峰对代码的分析，EzEI重构版在获取存储网关文件时，不对flg做校验。

通过20170628日会结论：从存储网关获取文件时，需要校验该文件上传成果的flg文件，以确保所获取文件的正确性和完整性。EzEI重构版本需要普查：从存储网管获取文件不校验flg文件的问题并修复。"
新债券业务管理系统_内部,在业务通知单流转系统开启显示工单的状态下，未查询到实时发送的工单,缺陷,普通,"在业务通知单流转系统开启显示工单的状态下做债券紧急停牌业务时，总复核岗需确认发送实时工单，确认发送后，在业务通知单流转系统没有查询到已发送的工单
预期结果：在业务通知单流转系统开启显示工单的状态下，业务通知单流转系统查询实时工单成功，接口文件数据查询成功
实际结果：在业务通知单流转系统开启显示工单的状态下，业务通知单流转系统未查询到数据，接口文件查询数据成功
重现步骤：
查询g_config表中NAME = 'SEND_ORDER_TOOL'的数据，将value改为‘1’，该状态为业务通知单流转系统开启显示工单的状态
债券代码申请-登记上市材料-债券上市-债券紧急停牌-查看业务通知单流转系统"
债券招标发行系统_内部,承销商用户进行分销，点击页面分销按钮出现空白页,"",紧急,"
步骤：
场务建标，发行人发布招标，承销商投标，承销商进行托管
承销商用户进行分销，点击页面分销按钮出现空白页，页面加载状态显示已完成"
